question,answer
What is a CNAME record and why is it needed when configuring a custom domain?,"I'm here to assist with questions related to Choreo. If your inquiry involves configuring a custom domain within Choreo or relates to its services, please clarify your question so I can provide the necessary assistance using Choreo-related resources."
How do I create a DNS record with my DNS provider for a custom domain in Choreo?,"To create a DNS record for a custom domain using your DNS provider in Choreo, follow these steps:\n\n1. **Add a Custom Domain in Choreo:**\n   - In the Choreo Console, navigate to **Organization** settings.\n   - Click on the **URL Settings** tab and then select **Active Domains**.\n   - Click **+ Add Domains**.\n   - Enter your desired domain name and select the appropriate environment and entity type (API or Web App).\n   - A CNAME target value will be generated. Note this value as you will need it to create your DNS record.\n\n2. **Create a DNS Record with Your DNS Provider:**\n   - Log into your DNS provider’s dashboard.\n   - Create a new DNS record:\n     - **Type:** CNAME\n     - **Name:** Enter your custom domain (e.g., `www.yourdomain.com`).\n     - **Value:** Enter the CNAME target value generated in the previous step.\n     - **TTL:** You can typically leave this as the default value or set it to `3600` seconds (1 hour).\n\n3. **Verification:**\n   - After creating the DNS record, return to the Choreo Console and click **Verify** to check if the CNAME mapping is correct. Note that it may take some time for the DNS changes to propagate.\n\n4. **Final Steps:**\n   - If the verification is successful, proceed to select a TLS certificate provider to secure your custom domain, either by importing your own TLS certificates or using Let's Encrypt.\n   - Finally, click **Add** to save the custom domain configuration.\n\nOnce these steps are completed, your custom domain will be ready to use with your Choreo components.\n\nFor more detailed instructions, you can refer to the documentation here: [Configure a Custom Domain for Your Organization](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-domain-for-an-organization)."
What happens after I create the CNAME record for my custom domain?,"After creating a CNAME record for your custom domain in Choreo, the next steps and expected outcomes include:\n\n1. **Verification of CNAME Mapping**: \n   - After setting up the CNAME record with your DNS provider, you need to click the **Verify** button in the Choreo Console. This step checks if the CNAME mapping is correctly configured. It may take some time for the mapping to be globally available.\n\n2. **TLS Certificate Configuration**:\n   - Once the verification is successful, you will need to select a TLS certificate provider. You can either:\n     - Import your own TLS certificates for the custom domain.\n     - Use **Let's Encrypt** to allow Choreo to generate and manage the certificates for you.\n\n3. **Saving the Custom Domain**:\n   - After configuring the TLS certificate, you can save the custom domain by clicking the **Add** button. \n\n4. **Utilization of the Custom Domain**:\n   - The newly added custom domain will be listed under the **Active Domains** tab within the **URL Settings**. This domain can now be used for your components in the specified environment. \n   - If the domain is for the **Developer Portal** type, it is immediately available, and you can access the Developer Portal via the custom domain.\n\n5. **Requesting Custom URLs for Components**:\n   - Component developers can request to use the custom domain for their components. These requests will require approval from the organization administrator. Once approved, the custom domain will be available for configuring custom URLs.\n\nFor more detailed guidance on configuring a custom domain and the steps involved, you can refer to the documentation [here](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-domain-for-an-organization)."
What happens if the CNAME record verification fails?,"If a CNAME record verification fails in Choreo, it typically means that the DNS settings for the custom domain are not configured correctly, preventing the system from confirming that you own the specified domain. Here are the consequences and next steps you can take:\n\n### Consequences of Failed Verification\n1. **Inability to Use Custom Domain**: You will not be able to utilize the custom domain for your organization’s components until the verification is successful.\n2. **Deployment Delays**: Any components or services that are intended to be accessed via the custom domain cannot be deployed or accessed as planned.\n\n### Next Steps to Resolve the Issue\n1. **Check DNS Configuration**:\n   - Ensure that the CNAME record you created with your DNS provider points correctly to the CNAME target value provided by Choreo.\n   - It may take some time for DNS changes to propagate globally, so verify that enough time has passed since the DNS record was created.\n\n2. **Re-Verify CNAME Record**:\n   - After confirming the DNS settings, go back to the Choreo console and attempt to verify the CNAME record again.\n\n3. **Consult DNS Provider**:\n   - If the verification continues to fail, consider checking with your DNS provider for any issues related to your DNS settings.\n\n4. **Retry the Process**:\n   - If everything appears correct and the issue persists, you may need to delete the existing custom domain configuration and start the process again.\n\nOnce you have addressed these steps, you should be able to successfully verify your CNAME record. For more detailed instructions on configuring a custom domain and the related troubleshooting, you can refer to the documentation [here](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-domain-for-your-organization)."
What TLS certificate providers are available when configuring a custom domain in Choreo?,"When configuring a custom domain in Choreo, you have two options for TLS certificate providers:\n\n1. **Let's Encrypt**: This option allows Choreo to automatically generate and manage the TLS certificates for your custom domain.\n\n2. **Import your own TLS certificates**: If you prefer to use certificates that you have created, you can import them. The certificates must adhere to specific guidelines, including being issued by a certificate authority (CA), being in X509 format, and being in PEM format.\n\nTo proceed with adding a custom domain, you would select one of these options during the configuration process.\n\nFor further details on the steps and requirements, you can refer to the documentation here: [Configure a Custom Domain for Your Organization](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-domain-for-an-organization)."
Can I import my own TLS certificate for a custom domain in Choreo?,"Yes, users can import their own TLS certificates for custom domains in Choreo. Here are the steps involved in the process:\n\n1. **Sign in to the Choreo Console** and ensure you have organization administrator privileges.\n2. In the Choreo Console header, click the **Organization** list, and then select **Settings** from the left navigation menu to access the organization-level settings page.\n3. Navigate to the **URL Settings** tab and then click the **Active Domains** tab.\n4. Click **+ Add Domains** to begin adding a custom domain.\n5. In the **Add a Custom Domain** pane, enter your domain name, select the environment, and choose the entity type (API or Web App) to which the domain will apply.\n6. Create a DNS record with your DNS provider to associate your domain name with the generated CNAME target value.\n7. Once the CNAME record is created, click **Verify** to confirm the CNAME mapping.\n8. On successful verification, click **Next**.\n9. Choose a TLS certificate provider:\n   - To import your own TLS certificates, select the option to import them. Ensure your certificates meet the following guidelines:\n     - The TLS certificate must be issued by a trusted certificate authority (CA), in X509 format, and in PEM format.\n     - The certificate must either be directly issued for your custom domain or via a wildcard entry.\n     - The TLS key file must also be in PEM format and encrypted using RSA encryption.\n     - If applicable, you may need a certificate chain file containing your domain's SSL/TLS certificate and any intermediate certificates.\n10. Upload the TLS certificate file and the private key file. If your certificate chain is separate, upload it in the designated field.\n11. Finally, click **Add** to save the custom domain.\n\nOnce the steps are completed, your custom domain with the imported TLS certificate will be successfully added to your organization.\n\nFor detailed instructions, you can refer to the documentation [here](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-domain-for-an-organization)."
What is Let's Encrypt and how can I use it for TLS certificates in Choreo?,"To obtain and manage TLS certificates using Let's Encrypt in Choreo, you need to follow a series of steps. Here’s a comprehensive guide on the process, including prerequisites, steps, and configurations needed.\n\n### Prerequisites\n1. **Organization Administrator Privileges**: Ensure you have administrator privileges within your Choreo organization, as you will need these to add a custom domain.\n2. **Custom Domain**: You must have a domain that you want to secure with TLS certificates.\n\n### Steps to Obtain and Manage TLS Certificates with Let's Encrypt\n\n1. **Sign in to the Choreo Console**: You should already be logged in to the Choreo Console.\n\n2. **Access Organization Settings**:\n   - In the Choreo Console header, click on the **Organization** list.\n   - In the left navigation menu, click **Settings** to open the organization-level settings page.\n\n3. **Add a Custom Domain**:\n   - Click on the **URL Settings** tab and then the **Active Domains** tab.\n   - Click **+ Add Domains**.\n   - In the **Add a Custom Domain** pane, enter your domain name, select the environment to apply the domain name, and choose the appropriate entity type (API or Web App).\n   \n4. **Create DNS Record**:\n   - After filling in the details, take note of the generated CNAME target value.\n   - Create a DNS record with your DNS provider that associates your custom domain with the CNAME target value.\n\n5. **Verify Domain**:\n   - Once the DNS record is created, go back to the Choreo Console and click **Verify**.\n   - The verification may take some time to complete as it checks the CNAME mapping.\n\n6. **Select TLS Certificate Provider**:\n   - After successful verification, click **Next**.\n   - You will have the option to import TLS certificates or select **Let's Encrypt** to generate and manage the certificates automatically.\n\n7. **Add Custom Domain**:\n   - After selecting **Let's Encrypt**, click **Add** to save the custom domain.\n   - The custom domain you added will now be available for the specified entity types in the environment.\n\n### Additional Information\n- When using Let's Encrypt, Choreo will handle the acquisition and renewal of TLS certificates automatically, which simplifies the management process.\n- Ensure that your DNS records are correctly configured and propagated for the Let's Encrypt validation to succeed.\n\n### Conclusion\nBy following these steps, you can successfully configure a custom domain in Choreo and manage TLS certificates using Let's Encrypt. This will enable secure communication for your services.\n\nFor more detailed information, you can refer to the official documentation: [Configure a Custom Domain for Your Organization](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-domain-for-an-organization)."
Where will the added domain be listed in the Choreo Console?,"To find the list of added domains in the Choreo Console, you can follow these steps:\n\n1. In the Choreo Console header, click on the **Organization** list.\n2. In the left navigation menu, select **Settings**. This will take you to the organization-level settings page.\n3. Next, click on the **URL Settings** tab.\n4. Within the URL Settings, navigate to the **Active Domains** tab.\n\nIn the **Active Domains** tab, you will see the list of custom domains that have been added to your organization. This area displays all the active domains, and you can also perform actions related to these domains from here.\n\nFor more detailed instructions, you can refer to the documentation [here](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-domain-for-an-organization)."
What happens to the Developer Portal customizations when I add a custom domain?,"When a custom domain is added for the Developer Portal in Choreo, the customization applied to the Developer Portal is implemented immediately. This means that after the custom domain setup is completed, you can access the organization’s Developer Portal using the newly added domain without any additional steps.\n\nTo summarize the process:\n\n1. **Immediate Application**: Customizations to the Developer Portal will take effect right after the custom domain is configured.\n\n2. **Access via Custom Domain**: You can access the Developer Portal through the custom domain you have set up.\n\nFor further details on adding a custom domain or managing the Developer Portal, you can refer to the documentation here: [Configure a Custom Domain for Your Organization](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-domain-for-an-organization) and [Customize the Developer Portal](https://wso2.com/choreo/docs/administer/customize-the-developer-portal/)."
How can developers request to use available custom domains in Choreo?,"In Choreo, developers can request to use available custom domains for their components through a specific process that requires administrator approval. Here’s how it works:\n\n### Steps to Request a Custom Domain\n1. **Ensure Deployment**: Before requesting a custom domain, make sure that your component is deployed to the specific environment where you want to configure the custom URL.\n\n2. **Access Component Settings**:\n   - In the Choreo Console, navigate to the **Component Listing** pane.\n   - Click on the component for which you want to customize the URL.\n\n3. **Open URL Settings**:\n   - In the left navigation menu, select **Settings** to access the component-level settings page.\n   - Click on the **URL Settings** tab to view active deployments and check for available custom domains.\n\n4. **Edit URL Mapping**:\n   - If an active custom domain is available, the **Edit URL Mapping** icon will be enabled in the **Action** column for the corresponding environment.\n   - Click on the **Edit URL Mapping** icon to open the **URL Settings** dialog.\n\n5. **Request a Custom URL**:\n   - In the **URL Settings** dialog, select a domain from the drop-down menu to request a custom URL.\n   - If applicable, specify an appropriate context path in the **Path** field.\n   - Click **Configure** to submit your request. The request will remain in **Pending** status until an organization administrator approves it.\n\n### Administrator Approval\nOnce a developer submits a request for a custom URL, it will be listed under the **Pending URL Requests** tab in the organization-level settings page. An organization administrator can review and approve these requests, which will then enable the developer to use the configured custom domain for their component.\n\nFor further details, you can refer to the Choreo documentation [here](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-url-for-a-component)."
What are the steps to request a custom URL for a component in Choreo?,"To request a custom URL for a component in Choreo, you need to follow these steps:\n\n### Steps to Request a Custom URL for a Component\n\n1. **Ensure Deployment**: Before requesting a custom domain, make sure that your component is deployed to the specific environment where you want to configure the custom URL.\n\n2. **Access Component Settings**:\n   - In the **Component Listing** pane, click on the component for which you want to customize the URL.\n\n3. **Open Settings**:\n   - In the left navigation menu, click on **Settings**. This will take you to the component-level settings page.\n\n4. **Check URL Settings**:\n   - Click on the **URL Settings** tab. Here, you will see the active deployments of your component across different environments and whether a custom URL is already configured. \n   - If there is an active custom domain available for configuration, the **Edit URL Mapping** icon will be enabled in the corresponding **Action** column.\n\n5. **Edit URL Mapping**:\n   - Click the **Edit URL Mapping** icon under the **Action** column for the respective environment. This will open the **URL Settings** dialog.\n\n6. **Select Domain**:\n   - In the **URL Settings** dialog, choose a domain from the drop-down list to configure your custom URL. \n   - If you are requesting a custom URL for an API, ensure to specify an appropriate context path in the **Path** field. You can edit the path as needed.\n\n7. **Configure the Custom URL**:\n   - Click **Configure** to create the custom URL mapping. This request will be visible under the **URL Settings** tab and will remain in the **Pending** status until it is approved by an organization administrator.\n\n### Additional Notes\n- The request for a custom URL will need to be approved by an organization administrator. Once approved, the invoke URL of the component will be updated to reflect the configured custom URL.\n\nFor more details, you can refer to the documentation here: [Configure a Custom URL for a Component](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-url-for-a-component)."
Where do I select the component from in the Choreo Console to request a custom URL?,"To request a custom URL for a component in the Choreo Console, follow these steps:\n\n1. **Check Deployment**: Ensure that your component is already deployed to the desired environment before making a request for a custom domain.\n\n2. **Select Your Component**: In the **Component Listing** pane, click on the component for which you want to customize the URL.\n\n3. **Access Settings**: In the left navigation menu, click on **Settings** to open the component-level settings page.\n\n4. **Navigate to URL Settings**: Click on the **URL Settings** tab. This will display the active deployments of your component across different environments, along with information on whether a custom URL is already configured.\n\n5. **Edit URL Mapping**: If an active custom domain is available for configuration, the **Edit URL Mapping** icon in the **Action** column will be enabled. Click on this icon to open the **URL Settings** dialog.\n\n6. **Request Custom URL**: In the **URL Settings** dialog, select an available domain from the **Domain** drop-down. If you are requesting a custom URL for an API, make sure to specify an appropriate context path in the **Path** field.\n\n7. **Confirm Configuration**: After selecting the domain and specifying the path, click **Configure**. This will create the custom URL mapping, which will initially be in **Pending** status until approved by an organization administrator.\n\nOnce your request is approved, the invoke URL of your component will be replaced with the configured custom URL.\n\nFor more detailed information, you can refer to the documentation [here](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-url-for-a-component)."
Where do I find the URL Settings for a component in the Choreo Console?,"Users can find the URL Settings for a component in the Choreo Console by following these steps:\n\n1. In the **Component Listing** pane, click on the component for which you want to customize the URL.\n2. In the left navigation menu, click **Settings**. This will open the component-level settings page.\n3. Click on the **URL Settings** tab. This tab displays the active deployments of the component across different environments and indicates whether a custom URL is configured.\n4. If an active custom domain is available, the **Edit URL Mapping** icon in the corresponding **Action** column will be enabled. You can click this icon to open the **URL Settings** dialog to specify values for requesting a custom URL.\n\nIn the **URL Settings** dialog, you can select a domain to configure a custom URL. If you want to set up a custom URL, make sure that the component is already deployed to the desired environment.\n\nFor further details, you can refer to the documentation [here](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-url-for-a-component)."
"What is the ""Edit URL Mapping"" icon and where do I find it?","The 'Edit URL Mapping' icon can be found in the **URL Settings** tab of the component-level settings page in the Choreo Console. Here’s how you can locate it:\n\n1. In the **Component Listing** pane, click on the component for which you want to customize the URL.\n2. In the left navigation menu, click **Settings** to open the component-level settings page.\n3. Click the **URL Settings** tab. This displays the active deployments of the component across different environments.\n4. If a custom domain is available to configure a custom URL for a component in a specific environment, the **Edit URL Mapping** icon in the corresponding **Action** column will be enabled.\n\n### Purpose of the 'Edit URL Mapping' Icon\nThe purpose of the 'Edit URL Mapping' icon is to allow developers to configure a custom URL for a component in a specific environment. Clicking this icon opens the **URL Settings** dialog, where you can select a domain and specify values to request for a custom URL. This is particularly useful when you want to use a more user-friendly or branded URL for your service.\n\nFor more detailed information, you can refer to the [Configure a Custom Domain for Your Organization](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-url-for-a-component) documentation."
"What options are available in the ""URL Settings"" dialog when requesting a custom URL?","When requesting a custom URL for a component in Choreo, the 'URL Settings' dialog provides the following options:\n\n1. **Domain Selection**: You can select a domain from the **Domain** drop-down menu. This menu lists all available domains that can be configured for the component.\n\n2. **Path Field**: If you are requesting a custom URL for an API, you must specify an appropriate context path in the **Path** field. The **Path** field will display the default context path, which you can edit according to your preferences.\n\n3. **Configure Button**: After selecting the domain and specifying the path, you click the **Configure** button to create the custom URL mapping. \n\nOnce the mapping is created, it will appear under the **URL Settings** tab, and the request will remain in a **Pending** status until an organization administrator approves it.\n\nFor more details, you can refer to the documentation [here](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-url-for-a-component)."
What is a context path and why is it needed for APIs when configuring a custom URL?,"A **context path** in API configuration is a specific segment of the URL that is used for routing purposes. It defines a base path that precedes the endpoint for the API, allowing multiple services or endpoints to coexist under the same domain without conflict. The context path is particularly important when setting up a custom URL because it helps to uniquely identify the API's entry point within the broader context of the application or service.\n\nWhen configuring a custom URL for your component in Choreo, you need to specify an appropriate context path in the **Path** field. This context path serves as a namespace for your API, helping to organize and manage the various endpoints that may be exposed by your service. For example, if you have multiple APIs under the same domain, each can have a different context path, thus avoiding any potential URL conflicts.\n\nHere are some key points regarding the context path and its importance:\n\n- **Routing**: The context path directs incoming requests to the appropriate service or endpoint, facilitating proper routing within your application.\n- **Organization**: It helps in organizing APIs logically, especially when multiple APIs are available under the same domain.\n- **Custom URL Configuration**: When you set up a custom URL, the context path must be provided to ensure that the API can be accessed correctly.\n\nTo configure a custom URL for your component, follow the steps in the Choreo Console, where you specify the context path as part of the URL settings.\n\nFor more detailed guidance, refer to the documentation on configuring a custom URL for components: [Configure a Custom URL for a Component](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-url-for-a-component)."
"What happens after I click ""Configure"" when requesting a custom URL?","When you click 'Configure' after requesting a custom URL for your component in Choreo, the following process occurs:\n\n1. **Custom URL Mapping Creation**: Clicking 'Configure' creates a custom URL mapping for the specified component. This mapping will link the selected custom domain and the path you specified.\n\n2. **Pending Status**: Immediately after the configuration, the status of your custom URL request will change to **Pending**. This indicates that the request is awaiting approval from an organization administrator.\n\n3. **Visibility of Request**: The custom URL request can be viewed under the **URL Settings** tab of the component's settings page. Until the administrator approves the request, it remains in the Pending state.\n\n4. **Administrator Approval**: Once the administrator reviews and approves the custom URL request, the invoke URL of the component will be replaced with the newly configured custom URL.\n\nThis entire process allows for effective branding and discoverability of the component through the requested custom URL.\n\nFor more detailed information, you can refer to the [Choreo documentation on configuring a custom URL for a component](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-url-for-a-component)."
"What does ""Pending"" status mean for a custom URL request?","In Choreo, when a custom URL request is marked with a **Pending** status, it indicates that the request has been successfully submitted by a developer but has not yet been approved by an organization administrator. \n\nHere’s a brief overview of the process:\n\n1. **Request Submission**: After a developer requests a custom URL for a component, this request will be recorded in the system.\n2. **Pending Status**: The custom URL request will remain in the **Pending** status until an organization administrator reviews and approves it.\n3. **Approval Process**: Once approved, the custom URL mapping will become active, and the invoke URL of the component will be updated accordingly.\n\nThe **Pending** status serves as a notification that action is required from an administrator to finalize the custom URL configuration. \n\nIf you need more detailed information about the custom URL request process, you can refer to the documentation here: [Configure a custom URL for a component](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-url-for-a-component)."
