question,answer
How do I configure Asgardeo as an external IdP for my Developer Portal?,"To configure Asgardeo as an external Identity Provider (IdP) for the Choreo Developer Portal, follow these steps:\n\n### Prerequisites\n1. **Create an Asgardeo Application**: Ensure you have registered a standard-based application in Asgardeo. You can follow the Asgardeo guide to [register a standard-based application](https://wso2.com/asgardeo/docs/guides/applications/register-standard-based-app/#register-an-application).\n   \n2. **Find the Well-known URL**: Go to the **info** tab of your Asgardeo application and copy the **Discovery** endpoint.\n\n3. **Find the Client ID**: Go to the **Protocol** tab of your Asgardeo application and copy the **Client ID**.\n\n### Steps to Configure Asgardeo as an External IdP in Choreo\n1. In the Choreo Console, navigate to the left menu and click on **Settings**.\n   \n2. Click on the **Organization** dropdown to access the organization-level settings.\n\n3. Select the **Application Security** tab and then click on the **Identity Providers** tab.\n\n4. Click on **+ Identity Provider** to add a new identity provider.\n\n5. Choose **Asgardeo** from the list.\n\n6. In the Asgardeo dialog that appears:\n   - Enter a name and a description for your IdP.\n   - In the **Well-Known URL** field, paste the well-known URL you copied from Asgardeo.\n\n7. Keep the **Apply to all environments** checkbox selected to allow the tokens generated via this IdP to invoke APIs across all environments. If you want to restrict token usage to specific environments, clear this checkbox and select the necessary environments.\n\n8. Click **Next** to see the server endpoints useful for implementing and configuring authentication for your application.\n\n9. Finally, click **Add** to complete the configuration.\n\nNow that you have configured Asgardeo as an external IdP in Choreo, you can use it for authentication in the Developer Portal.\n\nFor more detailed guidance, you can refer to the full documentation here: [Configure Asgardeo as an External Identity Provider (IdP)](https://wso2.com/choreo/docs/administer/configure-an-external-idp/configure-asgardeo-as-an-external-idp/)."
How can I enable auto-approval for self-sign-up users?,"To enable auto-approval for self-sign-up users in Choreo, you can follow these steps within the Choreo Console:\n\n1. Click your username in the top right corner of the console.\n2. From the drop-down menu, select **Settings**. This will open the **Organization** pane where you can modify organization settings.\n3. In the **Organization** pane, select **Self Signups**.\n4. To enable auto-approval, toggle the switch to the ""on"" position.\n\nOnce you enable auto-approval, any user who creates an account on your Developer Portal will automatically have access without needing manual approval. This allows users to sign in and start using the services immediately after registration.\n\nFor more detailed information, you can refer to the documentation here: [Manage new users](https://wso2.com/choreo/docs/administer/configure-self-sign-up/#manage-new-users)."
What are the different mapping levels in Choreo's access control?,"In Choreo, access control is managed through three main concepts: Roles, Groups, and Mapping levels. The mapping levels specifically define the extent to which a role-group mapping can be applied. There are two defined mapping levels in Choreo:\n\n1. **Organization Level**: \n   - At this level, a role can be assigned to a group across the entire organization. This means that users in the group will inherit the permissions granted by that role for all resources within the organization. \n   - For example, if a user has the `edit_project` permission at the organization level, that user can edit all projects in the organization.\n\n2. **Project Level**: \n   - This level allows a role to be assigned to a group within the context of a specific project. Users in the group will inherit the permissions granted by that role only for the designated project. \n   - For instance, if a user has the `edit_project` permission at the project mapping level, that user can only edit the specified project.\n\nIt is important to note that organization-level permissions take precedence over project-level permissions. Therefore, careful consideration should be given when assigning roles to avoid unintentional access.\n\nFor more detailed information on access control in the Choreo Console, you can refer to the documentation [here](https://wso2.com/choreo/docs/administer/control-access-in-the-choreo-console/)."
How can I override the organization-level egress policy at the project level?,"To override the organization-level egress policy at the project level in Choreo, follow these steps:\n\n1. In the Choreo Console header, go to the **Project** list and select your project.\n2. In the left navigation menu, click **Settings** to open the project-level settings page.\n3. Click the **Egress Control** tab. Here, you will see that the organization-level egress policy is enforced by default.\n4. You can now add project-level rules to further restrict egress traffic:\n   - If the **Allow All** egress control type is selected at the organization level, you can add project-level deny rules to restrict traffic.\n   - If the **Deny All** egress control type is selected at the organization level, you can remove allow rules inherited from the organization to further restrict traffic.\n\nThis allows you to customize egress traffic management according to your project's requirements.\n\nFor more detailed information, you can refer to the documentation [here](https://wso2.com/choreo/docs/administer/control-egress-traffic-for-your-organization/#override-the-organization-level-egress-policy-at-the-project-level)."
What is the purpose of burst control in API subscription plans?,"Burst control in API subscription plans is designed to manage sudden spikes in requests to your API, thereby protecting your backend systems. This feature is particularly useful when the request count is monitored over longer periods, such as hourly or daily limits. By implementing burst control, you can ensure that consumers do not exhaust their entire quota of requests too quickly, which can lead to performance degradation or outages.\n\nWhen creating a subscription plan in Choreo, you have the option to select the **Burst Control** checkbox. This is recommended when the **Request Count Time Unit** is set to **Hour** or **Day**. By enabling burst control, you can allow for some flexibility in how requests are made within the specified time frame, preventing overwhelming traffic during peak usage times while still adhering to the overall rate limits.\n\nFor more details on creating subscription plans and utilizing burst control, you can refer to the documentation here: [Create API Subscription Plans](https://wso2.com/choreo/docs/administer/create-api-subscription-plans/)."
How do I preview changes to the Developer Portal theme?,"To preview changes to the Developer Portal theme in Choreo, follow these steps:\n\n1. **Access Developer Portal Theme Settings**:\n   - In the Choreo Console, click on **Settings** in the left pane.\n   - In the header, select the **Organization** list to open the organization level settings page.\n   - Navigate to the **API Management** tab and click on **Devportal Theme**.\n\n2. **Customize the Theme**:\n   - You can customize various aspects of the theme, including the **Home** page title, color theme, font, header and footer, and logos.\n   - For example, to change the title on the Home page, expand the **Home Page** section and modify the **Title** field.\n   - To adjust the color scheme, expand the **Color Palette** section and update the colors as needed.\n\n3. **Preview the Changes**:\n   - After making your changes, click the **Preview** button. This will allow you to see how the Developer Portal will look with the modifications you made.\n\n4. **Save and Apply Changes**:\n   - If you are satisfied with the preview, click **Save** to save your changes as a draft theme.\n   - To apply these changes to the Developer Portal, toggle the **Go Live** switch and confirm by clicking **Enable** when prompted.\n\n5. **View in Developer Portal**:\n   - Finally, sign in to the Choreo Developer Portal to see the updated Home page as it appears in the preview.\n\nThese steps will help you effectively preview and apply changes to the Developer Portal theme.\n\nFor more detailed information, you can refer to the documentation [here](https://wso2.com/choreo/docs/administer/customize-the-developer-portal/)."
How do I reset the Developer Portal theme to the default settings?,"To reset the Developer Portal theme to its default settings in Choreo, you can follow these steps:\n\n1. In the left pane of the Choreo Console, click on **Settings**.\n2. In the header, click on the **Organization** list. This will open the organization level settings page.\n3. Navigate to the **Devportal Theme** section.\n4. Click on the **Reset to Default** option.\n\nThis action will restore the theme of your Developer Portal back to the original default settings.\n\nFor more details, you can refer to the documentation [here](https://wso2.com/choreo/docs/administer/customize-the-developer-portal/#reset-the-developer-portal-theme)."
What happens when an invited user does not accept the organization invitation?,"When an invited user does not accept an organization invitation in Choreo, the following outcomes are likely:\n\n1. **No Access to Resources**: The invited user will not be able to access any resources within the organization since they have not accepted the invitation to join. Access to resources is contingent upon the user accepting the invitation.\n\n2. **Invitation Validity**: Although the specific duration for which the invitation remains valid is not mentioned in the provided documentation, typically, invitations may have a time limit. If the user does not accept the invitation within a specific timeframe, the invitation may expire.\n\n3. **Re-invitation**: If needed, an organization administrator can resend the invitation to the user at a later time if they initially do not accept it.\n\nIt is essential for invited users to accept the invitation to gain access to the resources and functionalities associated with the organization.\n\nFor more detailed information, you can refer to the following documentation: \n- [Inviting Users](https://wso2.com/choreo/docs/administer/inviting-members/#inviting-users)\n- [Manage Members of an Organization](https://wso2.com/choreo/docs/administer/manage-members-of-an-organization/)"
What is the difference between a Role and a Group in Choreo?,"In Choreo, **Roles** and **Groups** serve distinct purposes in managing user permissions and access control:\n\n### Role\n- A **Role** is essentially a collection of permissions. It defines what actions a user can perform within the Choreo Console. Choreo provides a predefined set of roles, each with specific permissions assigned. For example, roles can include permissions like creating, publishing, or managing APIs.\n\n### Group\n- A **Group**, on the other hand, is a collection of users. Each group must have one or more roles assigned to it, which allows the users within that group to inherit the permissions associated with those roles. For instance, if a group is designated as an ""API Publisher,"" all users in that group will automatically receive the permissions associated with the API Publisher role.\n\n### Summary of Differences\n- **Nature**: Roles are about permissions; Groups are about users.\n- **Function**: Roles determine what users can do; Groups allow multiple users to share the same permissions by assigning them roles.\n- **Assignment**: Users are grouped into Groups, which are then assigned Roles to control access level.\n\nThis structure allows for flexible and scalable management of permissions in the Choreo Console, ensuring that users can perform their tasks based on their roles while being organized into groups for easier management.\n\nFor more detailed information, you can refer to the following documents:\n- [Roles in Choreo](https://wso2.com/choreo/docs/choreo-concepts/organization#roles)\n- [Groups in Choreo](https://wso2.com/choreo/docs/choreo-concepts/organization#groups)"
How do I configure health checks for my Choreo components?,"To configure health checks for components in Choreo, you need to set up liveness and readiness probes. Here’s a step-by-step guide on how to do this:\n\n### Steps to Configure Health Checks\n\n1. **Select Your Component**: In the **Component Listing** pane, click on the component for which you want to configure health checks.\n\n2. **Access Health Checks**:\n   - In the left navigation menu, click on **DevOps**.\n   - Then, click on **Health Checks**.\n\n3. **Create Health Checks**:\n   - On the **Health Checks** page, click **+ Create**.\n   - **Configure Liveness Probe**: Set up the liveness probe based on your requirements. Liveness probes run periodically on your container and will restart the container if the probe fails, allowing the container to recover from issues such as crashing or becoming unresponsive.\n   - Click **Save** after configuring the liveness probe.\n\n4. **Configure Readiness Probe**: \n   - Set up the readiness probe according to your needs. The readiness probe determines whether the container is ready to handle requests.\n   - Click **Save** once configured.\n\n5. **Verify Container Status**: \n   - To ensure that the container is functioning correctly, click on **Runtime** under **DevOps** in the left navigation menu.\n   - Check the details on the **Runtime** page to confirm the container is working as expected. If the container does not start, review the **events and conditions** to see if any of the probes are causing the failure.\n\n### Probe Types\nYou can configure the following types of probes for your health checks:\n- **HTTP `GET` Request**: Sends an HTTP `GET` request to a specified port and path. A response status code in the range of 200-399 indicates success. It is recommended to create a `/healthz` or `/health` endpoint for this purpose.\n- **TCP Connection Probe**: Attempts to open a socket to the container on a specified port. If it fails to establish a connection, it is considered a failure.\n- **Execute a Command**: Executes a script within the container. A non-zero return from the command indicates a failure (e.g., checking for the existence of a file).\n\nThese health checks are vital for ensuring that the container is healthy and ready to serve traffic, contributing to the overall reliability of your services.\n\nFor more detailed information, you can refer to the documentation [here](https://wso2.com/choreo/docs/devops-and-ci-cd/set-up-health-checks/#configure-liveness-and-readiness-probes)."
What is the purpose of a liveness probe?,"In the context of Choreo, the purpose of a liveness probe is to determine whether a container is running and healthy. It helps in monitoring the application's health by allowing the system to check if the application is alive. If the liveness probe fails, the container may be restarted to ensure that the application continues to operate smoothly.\n\nChoreo supports different types of probes for both liveness and readiness checks:\n\n1. **HTTP GET Request**: This probe sends an HTTP GET request to a specified port and path on the container. A successful response status code (200-399) indicates that the application is healthy. It is recommended to create a `/healthz` or `/health` endpoint for this purpose.\n\n2. **TCP Connection Probe**: This probe attempts to establish a TCP connection to the specified port on the container. If the connection cannot be established, the probe fails.\n\n3. **Execute a Command**: This probe runs a specified command inside the container. A non-zero return value indicates a failure. For instance, checking for the existence of a file can serve as a health indicator.\n\nTo set up a liveness probe in Choreo, you would follow steps to configure it based on your requirements, which includes selecting the type of probe and configuring the necessary parameters.\n\nFor further details on setting up health checks, including liveness probes, you can refer to the documentation [here](https://wso2.com/choreo/docs/devops-and-ci-cd/set-up-health-checks/#probe-types) and [here](https://wso2.com/choreo/docs/devops-and-ci-cd/set-up-health-checks/#configure-liveness-and-readiness-probes)."
What is the purpose of a readiness probe?,"A **readiness probe** is a crucial component in the context of Choreo’s deployment and service management, as it determines whether a container is ready to handle requests. This probe runs periodically throughout the lifecycle of a container. However, unlike liveness probes, which restart the container when they fail, readiness probes do not cause a container to restart. Instead, they prevent the container from receiving network traffic if the probe fails.\n\nThe primary purpose of a readiness probe is to ensure that your service is only accessible when it is ready and able to handle requests. This is particularly important in scenarios involving a single replica of an application. If the readiness probe fails in such cases, the application will stop receiving traffic, and it may not recover unless a liveness probe fails and restarts the container.\n\nYou can configure readiness probes using various methods, such as:\n\n1. **HTTP GET request**: Sending an HTTP GET request to a specified port and path on the container. A successful response (status code 200-399) indicates that the container is ready. It's recommended to create a `/healthz` or `/health` endpoint in your service for this purpose.\n\n2. **TCP connection probe**: Attempting to open a socket to the container on a specified port. If the connection cannot be established, it is considered a failure.\n\n3. **Execute a command**: Running a command inside the container. A non-zero return from the command signifies a failure.\n\nBy configuring the readiness probe appropriately, you can fine-tune its behavior to match your application's needs, thereby enhancing the reliability and availability of your services.\n\nFor more details on configuring readiness probes in Choreo, you can refer to the following documentation:\n- [Set Up Health Checks](https://wso2.com/choreo/docs/devops-and-ci-cd/set-up-health-checks/#configure-liveness-and-readiness-probes)\n- [Readiness probes](https://wso2.com/choreo/docs/devops-and-ci-cd/set-up-health-checks/#readiness-probes)"
What are the different probe types available in Choreo?,"In Choreo, there are three different probe types available for monitoring or health checks that you can configure for both readiness and liveness probes:\n\n1. **HTTP GET Request**: \n   - This probe sends an HTTP `GET` request to a specified port and path on the container. \n   - A successful response status code is in the range of 200-399.\n   - It is recommended to create a `/healthz` or `/health` endpoint in your service for this purpose.\n   - You can also configure additional HTTP headers if needed.\n   ![HTTP GET probe](https://wso2.com/choreo/docs/assets/img/devops-and-ci-cd/healthchecks/http-get-probe.png)\n\n2. **TCP Connection Probe**: \n   - This probe attempts to establish a TCP connection to the container on a specified port.\n   - If it cannot establish a connection, it is considered a failure.\n\n3. **Execute a Command**: \n   - This probe executes a specified script inside the container.\n   - A non-zero return from the command indicates a failure. For instance, a command like `[""cat"", ""/tmp/healthy""]` would be considered healthy if the file `/tmp/healthy` exists.\n\nThese probes help ensure that your container is running correctly and can recover when issues arise. For more details, you can check the documentation on [Probe Types](https://wso2.com/choreo/docs/devops-and-ci-cd/set-up-health-checks/#probe-types)."
How do I observe real-time container logs in Choreo?,"To access and observe real-time container logs within the Choreo Console, follow these steps:\n\n1. **Navigate to the Runtime Page**:\n   - Go to the **Runtime** page of your component.\n\n2. **View Running Instances**:\n   - Here, you will see a list of active replicas of your component. Each replica provides insights such as real-time CPU and memory usage, status, restarts, and the time of the last activity.\n\n3. **Access Real-time Logs**:\n   - Click on the menu icon next to the replica you want to inspect.\n   - Select **Real-time Logs** from the dropdown menu. This will allow you to view logs that are fetched in real-time from the data plane. You will be able to see logs of active containers and the last shutdown container.\n\n4. **Options for Viewing Logs**:\n   - You can customize your log view by:\n     - **Display Previous Logs**: Enable this option to retrieve logs from the last shutdown/crashed/restarted container.\n     - **Since Seconds**: Specify the duration in seconds to fetch corresponding logs.\n     - **Filter Logs**: Enable to filter and display matching log lines based on a fuzzy string search.\n\n5. **View Container Conditions and Events**:\n   - If you need more information to troubleshoot issues, you can also click on the menu icon and select **Conditions & Events**. This section provides valuable debugging information, such as failing health checks, configuration issues, and scheduling problems.\n\nFor more detailed instructions and visuals, you can refer to the relevant documentation: [View Runtime Details](https://wso2.com/choreo/docs/devops-and-ci-cd/view-runtime-details/#view-running-instances). \n\nThis setup allows you to effectively monitor and debug your service's performance and issues in real-time."
How do I view container conditions and events in Choreo?,"To view container conditions and events in Choreo, you need to follow these steps:\n\n1. Navigate to the **Runtime** page of your component. You can do this by clicking on the component in the **Component Listing** pane, then selecting **DevOps**, and finally clicking on **Runtime**.\n\n2. On the **Runtime** page, you will see the details of the running instances of your component. Each active replica will have an associated menu icon.\n\n3. Click the menu icon of the replica whose conditions and events you want to view.\n\n4. From the dropdown menu, select **Conditions & Events**. This option will provide you with necessary debugging information that can help troubleshoot any issues with the deployment.\n\nThe conditions and events can indicate various issues such as:\n- Failing health checks (liveness and readiness probes).\n- Missing or invalid configuration/secret mounts.\n- Missing or invalid storage volume mounts.\n- Scheduling issues in the underlying data plane.\n\nThese insights are essential for diagnosing why a component might not be functioning as expected.\n\nFor more detailed guidance, you can refer to the documentation [here](https://wso2.com/choreo/docs/devops-and-ci-cd/view-runtime-details/#view-running-instances)."
What are the benefits of autoscaling component replicas?,"Autoscaling component replicas in Choreo offers several benefits, particularly in the areas of resource management, performance optimization, and cost efficiency:\n\n### 1. Resource Management\n- **Dynamic Scaling**: Choreo allows automatic scaling of component replicas based on resource consumption, specifically CPU and memory thresholds. This means that when the average CPU or memory usage across replicas reaches a defined threshold, Choreo will automatically increase the number of active replicas to meet demand.\n- **Minimum and Maximum Replicas**: Users can set a minimum and maximum number of replicas. The minimum ensures that there is always a baseline level of availability, while the maximum prevents over-provisioning, allowing for controlled resource management.\n\n### 2. Performance Optimization\n- **High Availability**: By automatically adjusting the number of replicas, Choreo ensures that your application can handle varying loads efficiently. This leads to improved response times and reduced latency, as there are always enough instances available to handle incoming requests.\n- **Scale-to-Zero Feature**: For HTTP applications, Choreo provides a scale-to-zero capability, which allows components to scale down to zero replicas when not in use, thus optimizing resource allocation. When traffic resumes, the service scales back up to handle requests, ensuring optimal performance without wasting resources during idle times.\n\n### 3. Cost Efficiency\n- **Reduced Infrastructure Costs**: By scaling down to zero during periods of low demand, Choreo helps to significantly reduce infrastructure costs, particularly in lower environments. This is advantageous for organizations looking to minimize operational expenses while maintaining the flexibility to scale resources when needed.\n- **Controlled Scaling**: The ability to set both minimum and maximum replicas allows organizations to control costs by preventing over-allocation of resources, ensuring that users only pay for what they need.\n\nIn summary, autoscaling component replicas in Choreo enhances resource management and performance while also promoting cost efficiency, making it a valuable feature for managing deployed components effectively.\n\nFor more detailed information, you can refer to the documentation on [Autoscale Component Replicas](https://wso2.com/choreo/docs/devops-and-ci-cd/autoscale/autoscale-component-replicas/) and [Autoscale Components with Scale-to-Zero](https://wso2.com/choreo/docs/devops-and-ci-cd/autoscale/autoscale-components-with-scale-to-zero/)."
