question,answer
How can I enable automatic builds on commit for a specific component in Choreo?,"To enable automatic builds on commit for a specific component in Choreo, follow these steps:\n\n1. **Navigate to the Build Page**: In the Choreo console, locate and click on the **Build** page associated with your component.\n\n2. **Enable Auto Build on Commit**: Find the option labeled **Auto Build on Commit**. This setting allows Choreo to automatically trigger a build whenever a commit is made to the connected Git repository for that component.\n\n3. **Manual Trigger for Initial Build**: Note that you must manually trigger the first build for your component. This step ensures that Choreo applies the necessary configurations to your development environment. You can do this by clicking **Build Latest** and selecting a specific commit if needed.\n\n4. **Subsequent Automatic Builds**: Once you have enabled Auto Build on Commit and completed the initial manual build, Choreo will automatically handle builds for every subsequent commit made to the repository.\n\n5. **Build Logs**: You can view build logs for specific builds on the **Build** page, which will help you track the progress and status of your builds.\n\nBy enabling this feature, you ensure that your component is built automatically with every commit, simplifying your development workflow.\n\nFor more detailed information, you can refer to the [CI/CD documentation](https://wso2.com/choreo/docs/choreo-concepts/ci-cd/#build)."
How do I configure a connection to a database that requires client certificate authentication?,"To configure a connection to a database using client certificate authentication in Choreo, you can utilize mutual TLS (mTLS). This ensures that both the client (Choreo) and the server (your database) authenticate each other using digital certificates. Here are the steps to set up mutual TLS for your database connection:\n\n### 1. Generate Certificates\nYou need to generate the following certificates:\n- **Root Certificate**: This is needed to sign both the client and server certificates. You can create this using a tool like OpenSSL.\n- **Client Certificate**: This certificate identifies the client (Choreo) and must be signed by the root certificate.\n- **Server Certificate**: This is used by the client to verify the server's identity and must also be signed by the root certificate.\n\n### 2. Configure the Backend Certificate\n- Ensure your backend (database) is protected with TLS.\n- Extract the public certificate of your backend server in PEM format.\n\n#### Steps:\n1. In the **Component Listing** pane, click on the API proxy for which you want to configure TLS.\n2. In the left navigation menu, click **Develop** and then click **Endpoints**.\n3. On the **Endpoints** page, click **Configure** corresponding to the endpoint.\n4. Click **Upload Endpoint Certificate** and select the backend certificate file to add it.\n\n### 3. Enable Mutual TLS\nTo enable mutual TLS, follow these steps:\n\n#### Approach 1: Generate a Key Pair through Choreo\n1. In the **Endpoints** page, turn on the **Mutual SSL** toggle.\n2. Click **Add Client Certificate**.\n3. In the dialog, select **Generate new key pair**, and specify a common name for the certificate.\n4. Click **Generate** to create the certificate.\n5. Download the client certificate in PEM format.\n\n#### Approach 2: Use Your Own Certificate Pair\n1. In the **Endpoints** page, turn on the **Mutual SSL** toggle.\n2. Click **Add Client Certificate**.\n3. In the dialog, select **Use my own key pair** and upload your private key and public certificate in PEM format.\n4. Click **Add** to save the certificate.\n\n### 4. Associate the Certificate with the API\n1. On the **Endpoints** page, go to the **Existing Certificates** section.\n2. Select the certificate you want to associate with the API.\n3. Click **Save**.\n\n### 5. Deploy the API\n1. In the left navigation menu, click **Deploy**.\n2. In the **Build Area** card, click **Configure & Deploy**.\n3. After verifying the endpoint URL, click **Save & Deploy**.\n\nThis process establishes a secure connection to your database with client certificate authentication.\n\nFor further details on configuring mutual TLS and certificates, you can refer to the following documentation:\n- [Configure Mutual TLS Between Components](https://wso2.com/choreo/docs/authentication-and-authorization/configure-mutual-tls-between-components/)\n- [Secure Communication Between the Choreo Gateway and Your Backend with Mutual TLS](https://wso2.com/choreo/docs/authentication-and-authorization/secure-communication-between-the-choreo-gateway-and-your-backend-with-mutual-tls/)"
How do I monitor the disk usage of my Choreo-managed database?,"To monitor the disk usage of a Choreo-managed database, you can utilize the Observability dashboard available in the Choreo console. This dashboard provides a comprehensive interface to visualize and monitor the performance of your deployed services, including metrics related to databases.\n\nHere are the steps to monitor the disk usage:\n\n1. **Access the Observability Dashboard**: In the left navigation menu of the Choreo console, click on **Observability**.\n\n2. **Monitor Key Metrics**: The Observability dashboard allows you to observe various metrics, including:\n   - **Throughput**: The number of requests served over a given period.\n   - **Latencies**: The response times associated with those requests.\n   - **Logs**: View logs generated over a specific timeframe, which can help identify any issues related to disk usage.\n\n3. **Diagnostic View**: Use the diagnostics view to analyze any anomalies or performance issues. This can include examining logs and throughput data that may indicate disk usage concerns.\n\nFor further details about the observability features, you can refer to the [Observability Overview](https://wso2.com/choreo/docs/monitoring-and-insights/observability-overview/) documentation.\n\nUnfortunately, the specific steps to monitor disk usage directly are not detailed in the provided documentation, so if you require more specific information or functionality, I recommend checking within the observability tools in the Choreo console or contacting support for assistance."
What are the steps to back up and restore a Choreo-managed MySQL database?,"Choreo provides automatic backups for MySQL databases based on different service plans. The backup and restore capabilities depend on the chosen service plan. Here’s a summary of how backups work for Choreo-managed MySQL databases:\n\n### Backup Mechanism\n- **Automatic Backups**: Choreo runs full backups daily for MySQL databases and records binary logs continuously.\n- **Backup Retention Time**: The duration for which backups are retained varies by service plan:\n  - **Hobbyist Plan**: No backup retention.\n  - **Startup Plan**: Backups retained for 2 days.\n  - **Business Plan**: Backups retained for 14 days.\n  - **Premium Plan**: Backups retained for 30 days.\n  \n### High Availability\n- The availability of backups is also linked to the high availability configurations of your service plan, with higher plans providing better redundancy and quicker restore options in case of failures. \n\n### Restoring a Database\nWhile the documentation does not provide specific steps for manually restoring a MySQL database, it indicates that Choreo automatically handles outages and failures by replacing broken nodes with new ones, which resume from the last known good state based on the backups.\n\nFor detailed information regarding the backup and restore process and the specifics of your plan, you can refer to the following documentation: [Choreo-managed MySQL Databases](https://wso2.com/choreo/docs/manage-databases-and-caches/choreo-managed-mysql-databases/#high-availability-and-automatic-backups). \n\nIf you have more specific requirements or a different context concerning your database backup and restore needs, please let me know!"
How can I configure a custom health check endpoint for my web application?,"To configure a custom health check endpoint for your web application in Choreo, you can set up liveness and readiness probes. Here are the steps to do so:\n\n### Steps to Configure Health Checks\n\n1. **Select Your Component**:\n   - In the Choreo Console, navigate to the **Component Listing** pane and click on the component (your web application) for which you want to configure health checks.\n\n2. **Access Health Checks**:\n   - In the left navigation menu, click on **DevOps**, then select **Health Checks**.\n\n3. **Create Health Checks**:\n   - On the **Health Checks** page, click **+ Create** to set up your probes.\n\n4. **Configure Liveness Probe**:\n   - Set up the liveness probe, which can be an HTTP `GET` request to your custom health check endpoint (e.g., `/healthz` or `/health`). You may also configure additional HTTP headers if necessary.\n   - Click **Save** after configuring.\n\n5. **Configure Readiness Probe**:\n   - Similarly, configure the readiness probe based on your requirements.\n   - Click **Save** again.\n\n### Important Notes\n- Liveness probes are used to determine if your application is running; if it fails, the container will restart.\n- Readiness probes check if your application is ready to handle traffic. If it fails, the container will stop receiving requests but won’t restart.\n- You can update or remove these probes at any time.\n\n### Additional Considerations\n- Ensure that your application is capable of responding to the health check requests at the specified endpoint.\n- You can monitor the status of your container by navigating to the **Runtime** section under **DevOps** to confirm that it operates as expected.\n\nFor more detailed information, you can refer to the official documentation: [Set Up Health Checks](https://wso2.com/choreo/docs/devops-and-ci-cd/set-up-health-checks/#configure-liveness-and-readiness-probes)."
How can I use a personal access token (PAT) to automate deployments with the Choreo CLI?,"To use a personal access token (PAT) for authentication and automate deployments with the Choreo CLI, you need to connect your Git repository to Choreo using the PAT. This allows Choreo to perform actions on your behalf within the repository.\n\nHere's how you can do that:\n\n1. **Access the Choreo Console**: Ensure you are in the Choreo Console.\n\n2. **Select Your Organization**: In the Choreo Console header, go to the **Organization** list and select your organization.\n\n3. **Navigate to Settings**: In the left navigation menu, click on **Settings**. This will open the organization-level settings page.\n\n4. **Add Credentials**: \n   - Click on the **Credentials** tab.\n   - Click on **+Add Credentials** to configure the Git repository connection.\n   - Enter a **Credential Name**.\n   - Select your Git provider (such as Bitbucket or GitLab).\n   - Enter the **Personal Access Token** you obtained from your Git provider.\n   - Click **Save**.\n\nBy completing these steps, you authorize Choreo to access your Git repository using the PAT, allowing for automated deployments and other actions like triggering deployments and managing configurations.\n\nFor more detailed information, you can refer to the documentation [here](https://wso2.com/choreo/docs/develop-components/develop-components-with-git/#connect-a-git-repository-to-choreo)."
How do I revoke a personal access token in Choreo?,"To revoke a personal access token in the Choreo Console, you will need to use the appropriate API endpoint for revocation. Here’s a general guideline on how to handle the revocation of access tokens:\n\n1. **Understand Token Lifespan**: By default, the lifespan of the tokens is set to 15 minutes (900 seconds). It's advisable to keep the expiry time short to minimize security risks.\n\n2. **Revocation Process**: To revoke an access token, Choreo uses a mechanism that typically involves invoking a specific revoke endpoint for the token you wish to invalidate. This action is usually done programmatically through API calls rather than directly through the UI. \n\n3. **Use Short-lived Tokens**: Since revoking JWT tokens can be complex due to their self-validating nature, it's recommended to use short-lived access tokens and refresh them regularly to enhance security.\n\n4. **Caution on Revocation**: Once an API Key or a token is deleted or revoked, this action is irreversible. Ensure that you confirm the action, as any application depending on the revoked token will lose access immediately.\n\nFor detailed steps or specific API endpoint information, please refer to the documentation [here](https://wso2.com/choreo/docs/consuming-services/manage-application/#revoke-access-tokens). \n\nIf you need further assistance or specific endpoint details, feel free to ask!"
How do I configure a custom domain for the Developer Portal?,"To configure a custom domain for the Developer Portal in Choreo, you need to follow a series of steps in the Choreo Console. Ensure you have organization administrator privileges before proceeding. Here's how to do it:\n\n### Steps to Add a Custom Domain\n\n1. **Open the Choreo Console**: Since you are already in the console, proceed to the next step.\n   \n2. **Navigate to Organization Settings**:\n   - In the Choreo Console header, click on the **Organization** list.\n   - In the left navigation menu, click **Settings**. This opens the organization-level settings page.\n\n3. **Access URL Settings**:\n   - Click on the **URL Settings** tab.\n   - Then, go to the **Active Domains** tab.\n\n4. **Add a Custom Domain**:\n   - Click on **+ Add Domains**.\n   - In the **Add a Custom Domain** pane, enter your desired domain name.\n   - Select **Developer Portal** as the entity type. Note that the environment selection is not applicable for the Developer Portal.\n   - After that, the CNAME alias for the Developer Portal will be generated. Create a DNS record with your DNS provider to associate your domain name with the provided CNAME target value.\n\n5. **Verify the CNAME Mapping**:\n   - Once the DNS record is created, click the **Verify** button in the Choreo Console. It may take some time for the CNAME mapping to become globally available. If verification is successful, proceed to the next step.\n\n6. **Select a TLS Certificate Provider**:\n   - You can either import your own TLS certificates for the custom domain or select **Let's Encrypt** to allow Choreo to generate and manage the certificates for you.\n\n7. **Save the Custom Domain**:\n   - Finally, click **Add** to save the custom domain. Once added, the custom domain will be listed in the **Active Domains** tab under the URL **Settings** tab.\n\nUpon successful configuration, the custom domain will be immediately available for accessing the Developer Portal.\n\nFor more detailed information and visual guidance, you can refer to the documentation [here](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-domain-for-an-organization)."
How can I customize the header and footer of the Developer Portal?,"To customize the header and footer of the Developer Portal in Choreo, you can follow these steps:\n\n1. **Access the Developer Portal Theme Settings**:\n   - Click on **Settings** in the left pane of the Choreo Console.\n   - In the header, select the **Organization** list to navigate to your organization's settings page.\n   - Click on the **API Management** tab, then select **Devportal Theme**.\n\n2. **Customize Header and Footer**:\n   - Once you are in the theme customization section, you will find options to modify various components of the portal, including the header and footer.\n   - Expand the relevant sections to access the customization options for the header and footer.\n   - Make your desired changes, such as updating text, colors, or logos.\n\n3. **Preview Changes**:\n   - After making changes, click the **Preview** button to see how the Developer Portal looks with your updates. This allows you to verify that your changes appear as intended.\n\n4. **Save and Go Live**:\n   - If you are satisfied with the changes, click **Save** to save your theme as a draft.\n   - To apply the changes to the Developer Portal, toggle the **Go Live** switch and confirm your action by clicking **Enable** in the popup message.\n\n5. **View Changes in the Developer Portal**:\n   - Finally, visit your Developer Portal to see the updated header and footer live on the site.\n\nPlease note that you need to be an admin user of the organization to customize the Developer Portal theme. Once you make changes, they cannot be undone, but you can reset to the default theme if needed.\n\nFor more detailed information, you can refer to the documentation [here](https://wso2.com/choreo/docs/administer/customize-the-developer-portal/)."
How do I add a new OAuth 2.0 grant type to my application in Asgardeo for use with Choreo?,"To add a new OAuth 2.0 grant type to your application in Asgardeo for integration with Choreo, you will need to configure an OIDC/OAuth 2.0 application in Asgardeo and ensure that it is linked correctly to your Choreo component. Here are the detailed steps you should follow:\n\n### Step 1: Create and Configure an OIDC/OAuth 2.0 Application in Asgardeo\n\n1. **Sign in to Asgardeo**: Go to [Asgardeo Console](https://console.asgardeo.io/).\n2. **Select Your Organization**: In the top navigation menu, click the **Organization** list and select your organization.\n3. **Create New Application**:\n   - Click **Applications** in the left navigation menu.\n   - Click **+ New Application** and choose **Standard-Based Application**.\n   - Specify a name for the application and select **OAuth2.0 OpenID Connect** as the protocol.\n   - Click **Register**.\n4. **Configure Protocol Settings**:\n   - Click the **Protocol** tab.\n   - Set the **Allowed grant types** based on your requirements (e.g., `Code`, `Refresh Token`).\n   - Add the following as **Authorized redirect URLs**:\n     - `[your-web-application-url]/auth/login/callback`\n     - `[your-web-application-url]/auth/logout/callback`\n   - Specify your web application URL under **Allowed origins**.\n   - In the **Access Token** section, select `JWT` as the **Token type**.\n   - Click **Update**.\n5. **Copy Client ID and Client Secret**: After the application is created, copy the **Client ID** and **Client Secret** as you will need these for the next step.\n\n### Step 2: Link the OIDC/OAuth 2.0 Application to Your Choreo Component\n\n1. **Go to Choreo Console**: In the Choreo Console, navigate to the component for which you want to manage OAuth keys.\n2. **Access Settings**:\n   - Click **Settings** in the left navigation menu.\n   - Click the **Authentication Keys** tab and select the environment where you want to generate keys.\n3. **Select Identity Provider**:\n   - In the **Identity Provider** list, select **Asgardeo - [your-org-name]**.\n4. **Add Keys**:\n   - Paste the **Client ID** and **Client Secret** from the Asgardeo application you created.\n   - Click **Add Keys** to complete the linking process.\n\n### Considerations\n\n- Ensure that you select the appropriate grant types based on the nature of your application (e.g., for user authentication, `Authorization Code` is usually recommended).\n- If you plan to invoke APIs secured with role-based access control, you will need to create roles in Asgardeo and map them accordingly.\n- Make sure to treat the `Client Secret` securely as it can grant access to your application.\n\nBy following these steps, you'll successfully add a new OAuth 2.0 grant type to your application in Asgardeo and integrate it with Choreo.\n\nFor further details, you can refer to the documentation links:\n- [Configure the identity provider for the web application](https://wso2.com/choreo/docs/authentication-and-authorization/secure-web-applications-with-managed-authentication/#step-3-configure-the-identity-provider-for-the-web-application)\n- [Manage Applications and Grant types](https://wso2.com/choreo/docs/consuming-services/manage-application/#grant-types)\n- [Secure API Access with Asgardeo](https://wso2.com/choreo/docs/authentication-and-authorization/secure-api-access-with-asgardeo/#step-4-invoke-the-choreo-api-with-scopes)"
